transaction_id,user_id,timestamp,amount,merchant_id,device_id,city,hour,device_change,geo_change,fraud_flag
0,user_563,2025-09-03 13:57:00,1390.5163889140367,merchant_185,device_643,Hyderabad,13,0,0,0
1,user_274,2025-02-10 04:10:00,10.0,merchant_386,device_41,Mumbai,4,0,0,0
2,user_1389,2025-11-07 22:29:00,4788.090418991321,merchant_200,device_7,Kolkata,22,1,1,0
3,user_860,2025-12-06 20:37:00,21.136637840733833,merchant_383,device_2385,Bangalore,20,0,0,0
4,user_538,2025-04-02 06:14:00,2330.705693177006,merchant_150,device_1574,Bangalore,6,0,1,0
5,user_1379,2025-03-11 07:02:00,471.3587873420787,merchant_470,device_2435,Bangalore,7,1,0,0
6,user_1468,2025-01-21 00:21:00,1588.2373064519068,merchant_439,device_479,Pune,0,0,0,0
7,user_1639,2025-09-02 07:05:00,582.2657302589107,merchant_134,device_1804,Mumbai,7,0,0,0
8,user_1926,2025-09-10 06:35:00,3657.36231841759,merchant_137,device_2818,Hyderabad,6,0,0,0
9,user_698,2025-10-12 11:37:00,612.7134646162898,merchant_311,device_2043,Bangalore,11,0,0,0
10,user_1547,2025-09-06 07:38:00,1350.5493330943536,merchant_409,device_2185,Kolkata,7,0,0,0
11,user_823,2025-07-06 06:12:00,527.3426138347949,merchant_0,device_1174,Delhi,6,0,0,0
12,user_315,2025-03-26 11:17:00,1437.622155289285,merchant_287,device_86,Kolkata,11,0,0,0
13,user_1364,2025-07-14 11:13:00,502.2607378578049,merchant_228,device_2240,Hyderabad,11,0,1,0
14,user_1995,2025-11-08 21:09:00,540.1879170662689,merchant_490,device_1592,Pune,21,0,0,0
15,user_121,2025-05-04 22:25:00,886.8783718637268,merchant_44,device_2909,Mumbai,22,0,0,0
16,user_1141,2025-04-19 12:25:00,2263.658324097693,merchant_166,device_1856,Mumbai,12,0,0,0
17,user_955,2025-04-22 11:09:00,420.804795552017,merchant_439,device_489,Delhi,11,0,0,0
18,user_869,2025-03-17 18:49:00,4198.106198571332,merchant_322,device_2229,Kolkata,18,0,0,0
19,user_1021,2025-01-21 21:13:00,8315.717989630994,merchant_236,device_2850,Bangalore,21,0,0,0
20,user_931,2025-03-18 15:30:00,835.5808788998074,merchant_276,device_1746,Bangalore,15,0,0,0
21,user_583,2025-06-06 18:25:00,1696.4920391962503,merchant_181,device_2860,Mumbai,18,0,0,0
22,user_1164,2025-03-04 19:29:00,1964.2084854593102,merchant_166,device_190,Hyderabad,19,0,0,0
23,user_374,2025-04-12 16:22:00,1276.3644433927102,merchant_417,device_2291,Bangalore,16,0,0,0
24,user_71,2025-10-20 06:44:00,1106.5217834209457,merchant_235,device_346,Kolkata,6,0,0,0
25,user_574,2025-10-07 08:58:00,104.54228615215926,merchant_454,device_2131,Delhi,8,0,0,0
26,user_1352,2025-01-01 07:52:00,3831.9698017445044,merchant_288,device_351,Bangalore,7,0,0,0
27,user_1844,2025-08-29 07:43:00,264.1893165317019,merchant_170,device_2904,Delhi,7,0,0,0
